,dockcount,duration,speed,trip_num,circle_per_not_circle,Start Station,Customer_per_Subscriber
0,27,10.074923547400612,0.16034256378422315,1962,0.03317535545023697,San Jose Diridon Caltrain Station,0.12114285714285715
1,15,27.798816568047336,0.10586819972367692,338,0.2950191570881226,San Jose Civic Center,1.0864197530864197
2,11,8.010625737898465,0.15216564939268365,847,0.03418803418803419,Santa Clara at Almaden,0.11300919842312747
3,19,10.918429003021147,0.13487751712682902,331,0.09966777408637874,Adobe on Almaden,0.277992277992278
4,15,12.853521126760564,0.12605365136471355,710,0.09230769230769231,San Pedro Square,0.3446969696969697
5,15,11.109311740890687,0.13460221125949257,741,0.05706134094151213,Paseo de San Antonio,0.17432646592709986
6,15,11.376053962900507,0.13384986376151042,593,0.1042830540037244,San Salvador at 1st,0.18837675350701402
7,15,17.733197556008147,0.14375004467591132,491,0.21534653465346534,Japantown,0.4314868804664723
8,15,10.565753424657535,0.14136451484450904,730,0.09118086696562033,San Jose City Hall,0.13707165109034267
9,19,14.773512476007678,0.11701914807303644,521,0.12526997840172785,MLK Library,0.33589743589743587
10,19,14.60313315926893,0.12328977511036401,383,0.09116809116809117,SJSU 4th at San Carlos,0.28523489932885904
11,15,12.002747252747254,0.1347803035684559,364,0.061224489795918366,St James Park,0.17419354838709677
12,19,14.275964391691394,0.13648523917010663,337,0.23897058823529413,Arena Green / SAP Center,0.311284046692607
13,15,14.283643892339544,0.13896307733413277,483,0.09029345372460497,SJSU - San Salvador at 9th,0.31607629427792916
14,15,22.432989690721648,0.1316077104654468,97,0.27631578947368424,Franklin at Maple,0.7321428571428571
15,25,13.372602739726027,0.13461058048733346,365,0.0960960960960961,Redwood City Caltrain Station,0.19672131147540983
16,15,10.73,0.10451870227634204,100,0.25,San Mateo County Center,0.041666666666666664
17,15,25.16216216216216,0.10880683578508984,37,0.27586206896551724,Redwood City Public Library,0.27586206896551724
18,15,34.733333333333334,0.13742316565320167,45,0.40625,Broadway at Main,0.45161290322580644
19,15,6.041322314049586,0.14676632831133946,121,0.03418803418803419,Redwood City Medical Center,0.09009009009009009
20,15,11.290996784565916,0.18542046720631142,622,0.0989399293286219,Mountain View City Hall,0.15828677839851024
21,23,14.686274509803921,0.17464475364499946,1122,0.11089108910891089,Mountain View Caltrain Station,0.16996871741397288
22,23,22.008695652173913,0.14870586251305057,230,0.14427860696517414,San Antonio Caltrain Station,0.41975308641975306
23,15,17.485981308411215,0.2352783603277956,214,0.281437125748503,Evelyn Park and Ride,0.296969696969697
24,15,17.38095238095238,0.18859137081441185,105,0.039603960396039604,San Antonio Shopping Center,0.22093023255813954
25,11,21.38167938931298,0.2205079072649573,131,0.19090909090909092,Castro Street and El Camino Real,0.35051546391752575
26,15,25.77310924369748,0.16408699528061316,238,0.23316062176165803,Rengstorff Avenue / California Street,0.6413793103448275
27,23,22.425837320574164,0.19384298795308155,418,0.24776119402985075,Palo Alto Caltrain Station,0.2628398791540785
28,11,57.85167464114833,0.15023363151370991,418,1.5962732919254659,University and Emerson,2.943396226415094
29,15,31.122377622377623,0.17109176918654703,286,0.2767857142857143,California Ave Caltrain Station,1.1185185185185185
30,11,19.03988603988604,0.15259017830660096,351,0.14332247557003258,Cowper at University,0.40963855421686746
31,15,27.8,0.17488253017802877,185,0.1858974358974359,Park at Olive,1.2560975609756098
32,19,16.061056543668702,0.1499076070293572,3767,0.033754116355653126,Powell Street BART,0.35406182602444286
33,15,14.561797752808989,0.13261344023712557,2403,0.044782608695652176,Clay at Battery,0.2947198275862069
34,15,14.298123090353558,0.14732159830164004,2291,0.06806526806526807,Davis at Jackson,0.18275684047496127
35,15,10.241952599929254,0.13293332078781156,2827,0.028,Commercial at Montgomery,0.1454619124797407
36,15,21.25329632199861,0.11590406664271447,1441,0.05800293685756241,Washington at Kearney,0.5870044052863436
37,19,12.865515857085509,0.14383150529131036,2491,0.02383888203863543,Post at Kearney,0.2800616649537513
38,15,21.29522431259045,0.1353306208566803,2764,0.07090275087175513,Embarcadero at Vallejo,0.7797810688989053
39,19,10.877855887521969,0.14888590489699502,3414,0.03048596438273468,Spear at Folsom,0.13724183877415055
40,23,22.190095185542834,0.13578337789589012,7249,0.07408504963698326,Harry Bridges Plaza (Ferry Building),0.548931623931624
41,19,12.251455978074683,0.1580685882245468,2919,0.03805120910384068,Embarcadero at Folsom,0.20669698222405952
42,15,15.216978417266187,0.15002850781748453,3475,0.04763340367802231,Embarcadero at Bryant,0.319787314849981
43,23,10.073529411764707,0.14816615368383534,5100,0.019592163134746102,Temporary Transbay Terminal (Howard at Beale),0.0888129803586678
44,19,13.520778364116095,0.13900626089287127,3032,0.0215633423180593,Beale at Market,0.1666025394382455
45,15,13.450498848810437,0.1483701427242703,2606,0.04198320671731307,5th at Howard,0.2856438085841145
46,19,19.087691069991955,0.1465586408375367,1243,0.08181026979982593,San Francisco City Hall,0.3919372900335946
47,23,14.704701834862385,0.1602220328848958,1744,0.03195266272189349,Golden Gate at Polk,0.21787709497206703
48,15,21.088457389428264,0.15592057024634204,6489,0.10413476263399694,Embarcadero at Sansome,0.7995008319467554
49,27,12.242862887012464,0.1649378642544715,4974,0.03689806128830519,2nd at Townsend,0.21257922964407605
50,19,8.875232280329174,0.1500155944955462,3767,0.018934271030565324,2nd at Folsom,0.12481337712750075
51,19,9.946979038224415,0.14325952087941213,3244,0.025284450063211124,Howard at 2nd,0.14791224345364473
52,15,10.053981106612685,0.15700784355901987,4446,0.032992565055762084,2nd at South Park,0.13476263399693722
53,15,10.402855230872184,0.1821019424998776,4483,0.027739569005043558,Townsend at 7th,0.1289347771342231
54,19,13.395428571428571,0.17978664123079652,3500,0.032448377581120944,South Van Ness at Market,0.16627790736421194
55,27,15.358268844941245,0.18311787087513695,3489,0.05090361445783133,Market at 10th,0.28177810433504774
56,19,14.547039740470398,0.1405303675535928,2466,0.03787878787878788,Yerba Buena Center of the Arts (3rd @ Howard),0.32723358449946177
57,23,10.738613462313584,0.16421679303743367,4962,0.015554645927138764,San Francisco Caltrain 2 (330 Townsend),0.11230665770006724
58,19,12.268924709243011,0.15627476369911997,9802,0.012080536912751677,San Francisco Caltrain (Townsend at 4th),0.10494870927742081
59,19,21.964791288566243,0.13618560766159649,2755,0.0637065637065637,Powell at Post (Union Square),0.6017441860465116
60,23,14.476867151354924,0.15435848193900978,3026,0.03346994535519126,Civic Center BART (7th at Market),0.25873544093178036
61,15,16.874874371859296,0.15262461942513958,3980,0.03808033385498174,Grant Avenue at Columbus Avenue,0.2768687840872634
62,23,13.278950604632097,0.1563161775483159,4879,0.029107783168107994,Steuart at Market,0.25070494744937194
63,19,14.369328174463595,0.13286190591758004,2843,0.028581765557163533,Mechanics Plaza (Market at Battery),0.276032315978456
64,19,17.43199677614346,0.14376370700647328,4963,0.039154103852596316,Market at 4th,0.3627127951674904
65,27,13.175840978593271,0.14603498619311148,5886,0.021697621940635306,Market at Sansome,0.18981200727713765
66,15,17.652173913043477,0.11002191411985109,23,,San Jose Government Center,0.9166666666666666
67,15,12.895522388059701,0.1680719739654381,201,0.03076923076923077,Broadway St at Battery St,0.11049723756906077
68,15,7.333333333333333,0.1453498134674376,3,,Mezes Park,2.0
